Title,Type,Creation Date,Days Since Creation,Training Materials,Sessions,Enrollments,Not Started,Stuck,Completed
,,Introduction to Coaching Circles (new),219,1,E-learning,{'2024-12-04': 19},3,0,{'2024-12-04': 16}
,,"AI-Empowered Coaching Series: Interactions: Chatbots, Co-pilots and AI agents",222,7,E-learning,{'2024-12-04': 440},10,247,{'2024-12-04': 183}
,,AI-Empowered Coaching Series: Smart Insights and Learnings,222,7,E-learning,{'2024-12-04': 459},21,234,{'2024-12-04': 204}
,,AI-Empowered Coaching Series: Ideation & Content Generation with AI,222,8,E-learning,{'2024-12-04': 502},13,301,{'2024-12-04': 188}
,,Facilitating Coaching Circles (new),223,2,E-learning,{'2024-12-04': 82},2,25,{'2024-12-04': 55}
,,Coaching Circles: DB - 2024,229,42,E-learning,{'2024-12-04': 36},0,19,{'2024-12-04': 17}
,,Cyber Citizenship Foundations: Cybersecurity Learning Plan Introduction,236,4,E-learning,{'2024-12-04': 338},102,4,{'2024-12-04': 232}
,,Cyber Citizenship Foundations: Digital Literacy Learning Plan Introduction,236,4,E-learning,{'2024-12-04': 462},196,9,{'2024-12-04': 257}
,,Coaching Circles: Unilever - 2024,236,9,E-learning,{'2024-12-04': 33},1,8,{'2024-12-04': 24}
,,[RETIRED] Coaching Circles: Sr Nooglers - Google Spring 2024,237,6,E-learning,{'2024-12-04': 10},1,5,{'2024-12-04': 4}
,,Cyber Citizenship Foundations: Global Civics Learning Plan Introduction,243,4,E-learning,{'2024-12-04': 401},153,16,{'2024-12-04': 232}
,,*Spring 2024 BetterUp Coach Launch Event!*,243,1,E-learning,{'2024-12-04': 1083},149,1,{'2024-12-04': 933}
,,Introduction to Coaching Circles (Apr '24),244,3,E-learning,{'2024-12-04': 29},0,4,{'2024-12-04': 25}
,,About Manage and Spotlight Circles (Apr '24),244,17,E-learning,{'2024-12-04': 32},2,13,{'2024-12-04': 17}
,,Labs Office Hours,244,1,E-learning,{'2024-12-04': 56},17,0,{'2024-12-04': 39}
,,Product COE Office Hours,244,1,E-learning,{'2024-12-04': 1},0,0,{'2024-12-04': 1}
,,"AI-Empowered Coaching Series: Braiding AI into Coaching, A Fireside Chat",245,5,E-learning,{'2024-12-04': 678},72,280,{'2024-12-04': 326}
,,MSTeams Coaching Circles Enablement,245,1,E-learning,{'2024-12-04': 133},12,7,{'2024-12-04': 114}
,,Cybersecurity Knowledge Check,252,4,E-learning,{'2024-12-04': 338},58,64,{'2024-12-04': 216}
,,Clean Desk Policy in the Digital Space,252,1,E-learning,{'2024-12-04': 338},131,1,{'2024-12-04': 206}
,,Understanding the Environment of Online Threats,252,1,E-learning,{'2024-12-04': 338},130,2,{'2024-12-04': 206}
,,How to Write Brief Coach Notes,252,1,E-learning,{'2024-12-04': 338},122,1,{'2024-12-04': 215}
,,Confidentiality and the Coaching Relationship,252,1,E-learning,{'2024-12-04': 338},125,3,{'2024-12-04': 210}
,,What Privacy and Data Security Mean for You as a BetterUp Coach,252,1,E-learning,{'2024-12-04': 338},120,4,{'2024-12-04': 214}
,,What is Privacy and Data Security,253,1,E-learning,{'2024-12-04': 338},112,10,{'2024-12-04': 216}
,,Digital Literacy Knowledge Check,253,4,E-learning,{'2024-12-04': 461},129,103,{'2024-12-04': 229}
,,New Technology Highlight Part 2: AI in Practice at BetterUp,253,1,E-learning,{'2024-12-04': 461},233,7,{'2024-12-04': 221}
,,New Technology Highlight Part 1: What is AI and Where Is Its Place at BetterUp?,253,1,E-learning,{'2024-12-04': 461},232,3,{'2024-12-04': 226}
,,Scope and Safety in Digital Coaching,253,1,E-learning,{'2024-12-04': 461},232,2,{'2024-12-04': 227}
,,Sorting Fiction from Fact,253,1,E-learning,{'2024-12-04': 461},227,3,{'2024-12-04': 231}
,,Representing Yourself Professionally in the Digital World,253,1,E-learning,{'2024-12-04': 461},212,14,{'2024-12-04': 235}
,,What is Digital Literacy,253,1,E-learning,{'2024-12-04': 461},210,3,{'2024-12-04': 248}
